title,artist,genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
SICKO MODE,Travis Scott,rap,155,73,83,-4,12,45,313,1,22,88
BUTTERFLY EFFECT,Travis Scott,rap,141,63,76,-6,11,19,191,5,5,82
STARGAZING,Travis Scott,rap,150,79,49,-4,19,6,271,1,4,80
CAN'T SAY,Travis Scott,rap,148,71,70,-5,12,71,198,20,5,79
YOSEMITE,Travis Scott,rap,128,55,79,-7,12,14,150,28,4,78
NO BYSTANDERS,Travis Scott,rap,147,81,73,-3,41,43,218,2,7,74
WAKE UP,Travis Scott,rap,149,65,74,-5,16,49,232,19,10,74
ASTROTHUNDER,Travis Scott,rap,152,46,70,-8,11,29,143,14,7,73
HOUSTONFORNICATION,Travis Scott,rap,160,72,69,-4,16,29,218,10,8,72
STOP TRYING TO BE GOD,Travis Scott,rap,150,57,59,-4,14,11,338,22,6,71
SKELETONS,Travis Scott,rap,148,69,46,-6,38,25,146,0,4,71
5% TINT,Travis Scott,rap,140,48,71,-5,24,6,196,17,5,71
R.I.P. SCREW,Travis Scott,rap,75,61,61,-6,11,56,186,39,29,70
COFFEE BEAN,Travis Scott,rap,95,58,81,-5,21,50,209,9,13,70
CAROUSEL,Travis Scott,rap,95,40,43,-6,22,13,180,23,21,69
WHO? WHAT!,Travis Scott,rap,140,73,83,-6,7,68,177,5,6,69
NC-17,Travis Scott,rap,136,76,80,-5,37,6,157,7,5,68
