title,artist,genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Stuck On You,Giveon,r&b,158,45,60,-7,11,14,205,16,5,68
Irrational,Shay Lia,r&b,98,70,76,-6,6,50,169,62,9,56
Treat,0.465972222,r&b,94,41,70,-10,11,81,167,41,9,50
Damage,H.E.R.,r&b,81,70,65,-7,12,18,223,11,7,73
Cupid's Curse (feat. Kehlani),Phora,r&b,111,40,69,-10,15,54,213,70,6,68
Silver Tongue Devil (feat. Shenseea),Masego,r&b,102,65,79,-9,10,70,198,51,9,62
Hold On,H.E.R.,r&b,120,54,46,-5,15,19,203,45,5,65
You Trippin,Devvon Terrell,r&b,152,83,57,-6,15,54,146,5,11,46
Baby,Brandon,r&b,76,25,64,-10,40,42,112,88,8,54
Mine,Alex Isley,r&b,67,40,35,-9,13,13,213,83,6,47
Thank My Exes,Devvon Terrell,r&b,140,74,61,-5,35,59,182,16,11,45
Mr. Midnight,Raheem DeVaughn,r&b,160,59,74,-9,9,68,264,40,13,40
SURF (feat. Masego),Xavier Omär,r&b,166,57,60,-7,10,31,202,11,35,57
Between The Lines,Gwen Bunn,r&b,104,48,51,-8,30,23,223,10,4,48
"Your Turn (feat. Musiq Soulchild, Tish Hyman & 6LACK)",Ty Dolla $ign,r&b,146,39,53,-9,11,25,320,18,5,65
You Send Me,Vivian Green,r&b,126,70,53,-7,12,40,229,27,7,48
All In You,Luh Kel,r&b,167,73,55,-6,13,24,143,5,4,53
All About You,Leon Bridges,r&b,122,45,75,-9,30,27,180,12,6,66
Self Love,Savannah Cristina,r&b,122,51,79,-9,11,41,158,58,12,44
Damn,Baby Rose,r&b,140,55,43,-8,12,46,174,79,5,55
Two Ways,Trey Songz,r&b,160,46,68,-8,11,29,201,5,13,57
Black Woman,Emanuel,r&b,141,15,38,-11,12,22,238,95,3,54
Do You Well,Omarion,r&b,160,67,72,-8,11,72,168,8,27,43
High & Dry,VanJess,r&b,140,50,79,-9,11,48,159,48,24,49
Vote - as featured on ABC’s black-ish,Jhené Aiko,r&b,147,55,60,-11,10,64,104,61,41,51
One Thing Missing,Eric Bellinger,r&b,120,48,66,-8,11,26,192,57,18,50
