title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Whiskey Glasses,Morgan Wallen,contemporary country,2018,2020?12?02,150,68,61,-5,12,71,234,37,3,81
Whatcha Know 'Bout That,Morgan Wallen,contemporary country,2018,2020?12?02,74,89,59,-5,4,98,195,32,3,62
Up Down (feat. Florida Georgia Line),Morgan Wallen,contemporary country,2018,2020?12?02,130,88,59,-3,15,79,197,8,4,73
The Way I Talk,Morgan Wallen,contemporary country,2018,2020?12?02,138,88,60,-3,9,76,208,5,3,72
Talkin' Tennessee,Morgan Wallen,contemporary country,2018,2020?12?02,100,71,70,-7,10,50,222,57,2,71
Redneck Love Song,Morgan Wallen,contemporary country,2018,2020?12?02,140,84,75,-5,4,92,190,40,3,65
Not Good At Not,Morgan Wallen,contemporary country,2018,2020?12?02,144,81,56,-3,11,58,185,24,3,67
Little Rain,Morgan Wallen,contemporary country,2018,2020?12?02,186,84,49,-4,12,71,207,18,5,67
If I Know Me,Morgan Wallen,contemporary country,2018,2020?12?02,100,60,78,-6,11,67,158,77,12,71
If I Ever Get You Back,Morgan Wallen,contemporary country,2018,2020?12?02,140,88,67,-3,21,96,174,1,3,61
Happy Hour,Morgan Wallen,contemporary country,2018,2020?12?02,98,84,62,-4,10,80,200,16,4,64
Had Me By Halftime,Morgan Wallen,contemporary country,2018,2020?12?02,144,89,49,-3,17,67,172,11,4,66
Gone Girl,Morgan Wallen,contemporary country,2018,2020?12?02,172,87,53,-3,9,77,163,29,4,62
Chasin' You,Morgan Wallen,contemporary country,2018,2020?12?02,97,59,63,-6,11,49,205,66,3,79
